feature,type,definition,available_at_transaction_time,primary_model,leakage_assessment,reason
step,Numerical raw,PaySim simulation time step; documentation states one step maps to one hour.,Yes,Yes,Low leakage risk; it is a transaction timestamp-like variable.,Captures broad temporal patterns observed in Stage 2.
step_day,Engineered numerical,"floor((step - 1) / 24) + 1, based on PaySim one-hour steps.",Yes,Yes,Low leakage risk; derived only from step.,"Provides a simple, interpretable day-level simulation period."
type,Categorical raw,"Transaction category: CASH_IN, CASH_OUT, DEBIT, PAYMENT, or TRANSFER.",Yes,Yes,Low leakage risk; known when transaction is initiated.,Stage 2 showed fraud count and fraud rate differ strongly by type.
amount,Numerical raw,Original transaction value.,Yes,Yes,Low leakage risk; core transaction input.,Fraudulent transactions tended to have higher amounts in Stage 2.
log_amount,Engineered numerical,log1p(amount).,Yes,Yes,Low leakage risk; derived only from amount.,Reduces the effect of extreme right-skewed transaction amounts.
oldbalanceOrg,Numerical raw,Sender balance before the transaction.,Yes,Yes,"Moderate caution; PaySim documentation warns balance columns may be problematic for fraud detection, but this is pre-transaction information.",Represents sender financial state before authorization.
oldbalanceDest,Numerical raw,Recipient balance before the transaction.,"Yes, where recorded",Yes,Moderate caution; PaySim lacks merchant balance information for M recipients.,Represents destination account state before authorization.
amount_to_origin_balance_ratio,Engineered numerical,amount / (oldbalanceOrg + 1.0).,Yes,Yes,Low-to-moderate; uses only pre-transaction origin balance and amount.,Shows transaction size relative to sender balance while avoiding division by zero.
amount_to_destination_balance_ratio,Engineered numerical,amount / (oldbalanceDest + 1.0).,"Yes, where recorded",Yes,Low-to-moderate; merchant destination balances may be recorded as zero.,Shows transaction size relative to destination balance while avoiding division by zero.
origin_balance_zero,Engineered binary,"1 if oldbalanceOrg equals 0, else 0.",Yes,Yes,Low leakage risk; derived from pre-transaction origin balance.,Captures whether the sender has no recorded starting balance.
destination_balance_zero,Engineered binary,"1 if oldbalanceDest equals 0, else 0.","Yes, where recorded",Yes,Low-to-moderate; zero can reflect merchant missing balance information.,Captures destinations with no recorded starting balance.
origin_balance_sufficient,Engineered binary,"1 if oldbalanceOrg is greater than or equal to amount, else 0.",Yes,Yes,Low-to-moderate; uses only pre-transaction balance and amount.,Indicates whether the sender balance appears sufficient for the transaction amount.
newbalanceOrig,Numerical raw,Sender balance after the transaction.,Potentially no,No,Post-transaction leakage risk.,Reserved only for a labeled post-transaction comparison experiment.
newbalanceDest,Numerical raw,Recipient balance after the transaction.,Potentially no,No,Post-transaction leakage risk.,Reserved only for a labeled post-transaction comparison experiment.
origin_balance_change,Engineered post-transaction,oldbalanceOrg - newbalanceOrig.,No for real-time authorization,No,Uses post-transaction balance; leakage risk.,"Useful for EDA and post-transaction comparison, not primary model."
destination_balance_change,Engineered post-transaction,newbalanceDest - oldbalanceDest.,No for real-time authorization,No,Uses post-transaction balance; leakage risk.,"Useful for EDA and post-transaction comparison, not primary model."
nameOrig,Identifier,Sender/customer identifier.,"Identifier is known, but not directly meaningful as a numeric feature",No,High-cardinality identifier; poor generalization risk.,Do not arbitrary-label-encode raw identifiers.
nameDest,Identifier,Recipient/customer or merchant identifier.,"Identifier is known, but not directly meaningful as a numeric feature",No,High-cardinality identifier; poor generalization risk.,Do not arbitrary-label-encode raw identifiers.
isFlaggedFraud,Rule indicator,PaySim rule flag for large illegal transfer attempts.,Separate rule system,No,Directly overlaps with fraud target and is a pre-existing rule.,Analyze separately as a rule-based baseline indicator.
